text,label
ಅಲರ್ಟ್!! ಸರ್ಕಾರ ಇದನ್ನು ಮರೆಮಾಡುತ್ತಿದೆ!!!,0
ವಿಧಾನಸಭಾ ಚುನಾವಣೆಯಲ್ಲಿ ಮತದಾನ ನಡೆಯಿತು.,1
ಪತ್ರಿಕಾ ಸಮ್ಮೇಳನದಲ್ಲಿ ಮಂತ್ರಿ ವಿವರಿಸಿದರು.,1
ರಿಸರ್ವ್ ಬ್ಯಾಂಕ್ ವಾರ್ಷಿಕ ವರದಿ ಬಿಡುಗಡೆ ಮಾಡಿತು.,1
ವೈರಲ್ ಸುದ್ದಿ!! ನೀವು ತಿಳಿದುಕೊಳ್ಳಬೇಕಾದ ಸತ್ಯ!!!,0
ವೈರಲ್!! ಎಲ್ಲರೂ ಫಾರ್ವರ್ಡ್ ಮಾಡಿ!!!,0
ಕ್ರಿಕೆಟ್ ಪಂದ್ಯದಲ್ಲಿ ಭಾರತ ಗೆದ್ದಿತು.,1
ಅವಿಶ್ವಸನೀಯ!! ಇದನ್ನು ಷೇರ್ ಮಾಡದೆ ಬಿಡಬೇಡಿ!!!,0
ತಕ್ಷಣ ಷೇರ್ ಮಾಡಿ!!! ಈ ಸುದ್ದಿ ಮಾಧ್ಯಮಗಳು ಮರೆಮಾಡುತ್ತಿವೆ!!!,0
ರಿಸರ್ವ್ ಬ್ಯಾಂಕ್ ವಾರ್ಷಿಕ ವರದಿ ಬಿಡುಗಡೆ ಮಾಡಿತು.,1
ತಕ್ಷಣ ಷೇರ್ ಮಾಡಿ!!! ಈ ಸುದ್ದಿ ಮಾಧ್ಯಮಗಳು ಮರೆಮಾಡುತ್ತಿವೆ!!!,0
ತಕ್ಷಣ ಷೇರ್ ಮಾಡಿ!!! ಈ ಸುದ್ದಿ ಮಾಧ್ಯಮಗಳು ಮರೆಮಾಡುತ್ತಿವೆ!!!,0
ವಿಧಾನಸಭಾ ಚುನಾವಣೆಯಲ್ಲಿ ಮತದಾನ ನಡೆಯಿತು.,1
ವೈರಲ್ ಸುದ್ದಿ!! ನೀವು ತಿಳಿದುಕೊಳ್ಳಬೇಕಾದ ಸತ್ಯ!!!,0
ವಿಧಾನಸಭಾ ಚುನಾವಣೆಯಲ್ಲಿ ಮತದಾನ ನಡೆಯಿತು.,1
ನ್ಯಾಯಾಲಯ ತೀರ್ಪು ನೀಡಿತು; ಅಪಿಲ್ ದಾಖಲಾಗಿದೆ.,1
ರಿಸರ್ವ್ ಬ್ಯಾಂಕ್ ವಾರ್ಷಿಕ ವರದಿ ಬಿಡುಗಡೆ ಮಾಡಿತು.,1
ನ್ಯಾಯಾಲಯ ತೀರ್ಪು ನೀಡಿತು; ಅಪಿಲ್ ದಾಖಲಾಗಿದೆ.,1
ರಿಸರ್ವ್ ಬ್ಯಾಂಕ್ ವಾರ್ಷಿಕ ವರದಿ ಬಿಡುಗಡೆ ಮಾಡಿತು.,1
ತಕ್ಷಣ ಷೇರ್ ಮಾಡಿ!!! ಈ ಸುದ್ದಿ ಮಾಧ್ಯಮಗಳು ಮರೆಮಾಡುತ್ತಿವೆ!!!,0
ಸರ್ಕಾರ ಘೋಷಣೆ ಪ್ರಕಾರ ಹೊಸ ಯೋಜನೆ ಅನುಮೋದಿಸಲಾಯಿತು.,1
ಸರ್ಕಾರ ಘೋಷಣೆ ಪ್ರಕಾರ ಹೊಸ ಯೋಜನೆ ಅನುಮೋದಿಸಲಾಯಿತು.,1
ಮುಖ್ಯಮಂತ್ರಿ ಹೇಳಿದರು ರಾಜ್ಯ ಮುನ್ನಡೆಯಲ್ಲಿದೆ.,1
ಮುಖ್ಯಮಂತ್ರಿ ಹೇಳಿದರು ರಾಜ್ಯ ಮುನ್ನಡೆಯಲ್ಲಿದೆ.,1
ಕ್ರಿಕೆಟ್ ಪಂದ್ಯದಲ್ಲಿ ಭಾರತ ಗೆದ್ದಿತು.,1
ವಿಧಾನಸಭಾ ಚುನಾವಣೆಯಲ್ಲಿ ಮತದಾನ ನಡೆಯಿತು.,1
ವಿಧಾನಸಭಾ ಚುನಾವಣೆಯಲ್ಲಿ ಮತದಾನ ನಡೆಯಿತು.,1
ವೈರಲ್ ಸುದ್ದಿ!! ನೀವು ತಿಳಿದುಕೊಳ್ಳಬೇಕಾದ ಸತ್ಯ!!!,0
ಪತ್ರಿಕಾ ಸಮ್ಮೇಳನದಲ್ಲಿ ಮಂತ್ರಿ ವಿವರಿಸಿದರು.,1
ಅಧಿಕಾರಿಗಳು ಪುರಾವೆಗಳನ್ನು ಸಲ್ಲಿಸಿದರು.,1
ಪತ್ರಿಕಾ ಸಮ್ಮೇಳನದಲ್ಲಿ ಮಂತ್ರಿ ವಿವರಿಸಿದರು.,1
ರಿಸರ್ವ್ ಬ್ಯಾಂಕ್ ವಾರ್ಷಿಕ ವರದಿ ಬಿಡುಗಡೆ ಮಾಡಿತು.,1
ನ್ಯಾಯಾಲಯ ತೀರ್ಪು ನೀಡಿತು; ಅಪಿಲ್ ದಾಖಲಾಗಿದೆ.,1
ಕ್ರಿಕೆಟ್ ಪಂದ್ಯದಲ್ಲಿ ಭಾರತ ಗೆದ್ದಿತು.,1
ತಕ್ಷಣ ಷೇರ್ ಮಾಡಿ!!! ಈ ಸುದ್ದಿ ಮಾಧ್ಯಮಗಳು ಮರೆಮಾಡುತ್ತಿವೆ!!!,0
ಗವರ್ನ್ಮೆಂಟ್ ರಹಸ್ಯ!! ಎಲ್ಲರಿಗೂ ಅನ್ವಯಿಸಿ!!!,0
ಇಸ್ರೋ ಉಪಗ್ರಹ ಯಶಸ್ವಿಯಾಗಿ ಉಡಾಯಿಸಿತು.,1
ಅಧಿಕಾರಿಗಳು ಪುರಾವೆಗಳನ್ನು ಸಲ್ಲಿಸಿದರು.,1
ಈ ವೀಡಿಯೋ ಡಿಲೀಟ್ ಮಾಡುವ ಮೊದಲು ನೋಡಿ!!!,0
ರಿಸರ್ವ್ ಬ್ಯಾಂಕ್ ವಾರ್ಷಿಕ ವರದಿ ಬಿಡುಗಡೆ ಮಾಡಿತು.,1
ಇಸ್ರೋ ಉಪಗ್ರಹ ಯಶಸ್ವಿಯಾಗಿ ಉಡಾಯಿಸಿತು.,1
ಅಧಿಕಾರಿಗಳು ಪುರಾವೆಗಳನ್ನು ಸಲ್ಲಿಸಿದರು.,1
ಕ್ರಿಕೆಟ್ ಪಂದ್ಯದಲ್ಲಿ ಭಾರತ ಗೆದ್ದಿತು.,1
ಮುಖ್ಯಮಂತ್ರಿ ಹೇಳಿದರು ರಾಜ್ಯ ಮುನ್ನಡೆಯಲ್ಲಿದೆ.,1
ವೈರಲ್ ಸುದ್ದಿ!! ನೀವು ತಿಳಿದುಕೊಳ್ಳಬೇಕಾದ ಸತ್ಯ!!!,0
ತಕ್ಷಣ ಷೇರ್ ಮಾಡಿ!!! ಈ ಸುದ್ದಿ ಮಾಧ್ಯಮಗಳು ಮರೆಮಾಡುತ್ತಿವೆ!!!,0
ಅಲರ್ಟ್!! ಸರ್ಕಾರ ಇದನ್ನು ಮರೆಮಾಡುತ್ತಿದೆ!!!,0
ಕ್ರಿಕೆಟ್ ಪಂದ್ಯದಲ್ಲಿ ಭಾರತ ಗೆದ್ದಿತು.,1
ಮುಖ್ಯಮಂತ್ರಿ ಹೇಳಿದರು ರಾಜ್ಯ ಮುನ್ನಡೆಯಲ್ಲಿದೆ.,1
ಈ ವೀಡಿಯೋ ಡಿಲೀಟ್ ಮಾಡುವ ಮೊದಲು ನೋಡಿ!!!,0
ಗವರ್ನ್ಮೆಂಟ್ ರಹಸ್ಯ!! ಎಲ್ಲರಿಗೂ ಅನ್ವಯಿಸಿ!!!,0
ಪೋಲೀಸ್ ತಿಳಿಸಿದರು ಇಂದು ಮೂವರು ಸೆರೆಹಿಡಿಯಲಾಗಿದೆ.,1
ಇಸ್ರೋ ಉಪಗ್ರಹ ಯಶಸ್ವಿಯಾಗಿ ಉಡಾಯಿಸಿತು.,1
ಮುಖ್ಯಮಂತ್ರಿ ಹೇಳಿದರು ರಾಜ್ಯ ಮುನ್ನಡೆಯಲ್ಲಿದೆ.,1
ವೈರಲ್ ಸುದ್ದಿ!! ನೀವು ತಿಳಿದುಕೊಳ್ಳಬೇಕಾದ ಸತ್ಯ!!!,0
ವೈರಲ್!! ಎಲ್ಲರೂ ಫಾರ್ವರ್ಡ್ ಮಾಡಿ!!!,0
ಸರ್ಕಾರ ಘೋಷಣೆ ಪ್ರಕಾರ ಹೊಸ ಯೋಜನೆ ಅನುಮೋದಿಸಲಾಯಿತು.,1
ಇಸ್ರೋ ಉಪಗ್ರಹ ಯಶಸ್ವಿಯಾಗಿ ಉಡಾಯಿಸಿತು.,1
ಗವರ್ನ್ಮೆಂಟ್ ರಹಸ್ಯ!! ಎಲ್ಲರಿಗೂ ಅನ್ವಯಿಸಿ!!!,0
ತಕ್ಷಣ ಷೇರ್ ಮಾಡಿ!!! ಈ ಸುದ್ದಿ ಮಾಧ್ಯಮಗಳು ಮರೆಮಾಡುತ್ತಿವೆ!!!,0
ವೈರಲ್!! ಎಲ್ಲರೂ ಫಾರ್ವರ್ಡ್ ಮಾಡಿ!!!,0
ತಕ್ಷಣ ಷೇರ್ ಮಾಡಿ!!! ಈ ಸುದ್ದಿ ಮಾಧ್ಯಮಗಳು ಮರೆಮಾಡುತ್ತಿವೆ!!!,0
ಗವರ್ನ್ಮೆಂಟ್ ರಹಸ್ಯ!! ಎಲ್ಲರಿಗೂ ಅನ್ವಯಿಸಿ!!!,0
ಇಸ್ರೋ ಉಪಗ್ರಹ ಯಶಸ್ವಿಯಾಗಿ ಉಡಾಯಿಸಿತು.,1
ಅಧಿಕಾರಿಗಳು ಪುರಾವೆಗಳನ್ನು ಸಲ್ಲಿಸಿದರು.,1
ವೈರಲ್ ಸುದ್ದಿ!! ನೀವು ತಿಳಿದುಕೊಳ್ಳಬೇಕಾದ ಸತ್ಯ!!!,0
ಮುಖ್ಯಮಂತ್ರಿ ಹೇಳಿದರು ರಾಜ್ಯ ಮುನ್ನಡೆಯಲ್ಲಿದೆ.,1
ಸರ್ಕಾರ ಘೋಷಣೆ ಪ್ರಕಾರ ಹೊಸ ಯೋಜನೆ ಅನುಮೋದಿಸಲಾಯಿತು.,1
ತಕ್ಷಣ ಷೇರ್ ಮಾಡಿ!!! ಈ ಸುದ್ದಿ ಮಾಧ್ಯಮಗಳು ಮರೆಮಾಡುತ್ತಿವೆ!!!,0
ಅಧಿಕಾರಿಗಳು ಪುರಾವೆಗಳನ್ನು ಸಲ್ಲಿಸಿದರು.,1
ಅಲರ್ಟ್!! ಸರ್ಕಾರ ಇದನ್ನು ಮರೆಮಾಡುತ್ತಿದೆ!!!,0
ವೈರಲ್!! ಎಲ್ಲರೂ ಫಾರ್ವರ್ಡ್ ಮಾಡಿ!!!,0
ಗವರ್ನ್ಮೆಂಟ್ ರಹಸ್ಯ!! ಎಲ್ಲರಿಗೂ ಅನ್ವಯಿಸಿ!!!,0
ಈ ವೀಡಿಯೋ ಡಿಲೀಟ್ ಮಾಡುವ ಮೊದಲು ನೋಡಿ!!!,0
ವಿಧಾನಸಭಾ ಚುನಾವಣೆಯಲ್ಲಿ ಮತದಾನ ನಡೆಯಿತು.,1
ಪೋಲೀಸ್ ತಿಳಿಸಿದರು ಇಂದು ಮೂವರು ಸೆರೆಹಿಡಿಯಲಾಗಿದೆ.,1
ರಿಸರ್ವ್ ಬ್ಯಾಂಕ್ ವಾರ್ಷಿಕ ವರದಿ ಬಿಡುಗಡೆ ಮಾಡಿತು.,1
ಅವಿಶ್ವಸನೀಯ!! ಇದನ್ನು ಷೇರ್ ಮಾಡದೆ ಬಿಡಬೇಡಿ!!!,0
ವೈರಲ್!! ಎಲ್ಲರೂ ಫಾರ್ವರ್ಡ್ ಮಾಡಿ!!!,0
ಇಸ್ರೋ ಉಪಗ್ರಹ ಯಶಸ್ವಿಯಾಗಿ ಉಡಾಯಿಸಿತು.,1
ತಕ್ಷಣ ಷೇರ್ ಮಾಡಿ!!! ಈ ಸುದ್ದಿ ಮಾಧ್ಯಮಗಳು ಮರೆಮಾಡುತ್ತಿವೆ!!!,0
ಸರ್ಕಾರ ಘೋಷಣೆ ಪ್ರಕಾರ ಹೊಸ ಯೋಜನೆ ಅನುಮೋದಿಸಲಾಯಿತು.,1
ಅವಿಶ್ವಸನೀಯ!! ಇದನ್ನು ಷೇರ್ ಮಾಡದೆ ಬಿಡಬೇಡಿ!!!,0
ನ್ಯಾಯಾಲಯ ತೀರ್ಪು ನೀಡಿತು; ಅಪಿಲ್ ದಾಖಲಾಗಿದೆ.,1
ಅಲರ್ಟ್!! ಸರ್ಕಾರ ಇದನ್ನು ಮರೆಮಾಡುತ್ತಿದೆ!!!,0
ಅಲರ್ಟ್!! ಸರ್ಕಾರ ಇದನ್ನು ಮರೆಮಾಡುತ್ತಿದೆ!!!,0
ಇಸ್ರೋ ಉಪಗ್ರಹ ಯಶಸ್ವಿಯಾಗಿ ಉಡಾಯಿಸಿತು.,1
ಪೋಲೀಸ್ ತಿಳಿಸಿದರು ಇಂದು ಮೂವರು ಸೆರೆಹಿಡಿಯಲಾಗಿದೆ.,1
ಕ್ರಿಕೆಟ್ ಪಂದ್ಯದಲ್ಲಿ ಭಾರತ ಗೆದ್ದಿತು.,1
ಮುಖ್ಯಮಂತ್ರಿ ಹೇಳಿದರು ರಾಜ್ಯ ಮುನ್ನಡೆಯಲ್ಲಿದೆ.,1
ಪತ್ರಿಕಾ ಸಮ್ಮೇಳನದಲ್ಲಿ ಮಂತ್ರಿ ವಿವರಿಸಿದರು.,1
ವೈರಲ್!! ಎಲ್ಲರೂ ಫಾರ್ವರ್ಡ್ ಮಾಡಿ!!!,0
ಫೇಕ್ ಅಲ್ಲ ಸತ್ಯ!! ಷೇರ್ ಮಾಡಿ!!!,0
ಗವರ್ನ್ಮೆಂಟ್ ರಹಸ್ಯ!! ಎಲ್ಲರಿಗೂ ಅನ್ವಯಿಸಿ!!!,0
ಪೋಲೀಸ್ ತಿಳಿಸಿದರು ಇಂದು ಮೂವರು ಸೆರೆಹಿಡಿಯಲಾಗಿದೆ.,1
ಅಧಿಕಾರಿಗಳು ಪುರಾವೆಗಳನ್ನು ಸಲ್ಲಿಸಿದರು.,1
ವೈರಲ್!! ಎಲ್ಲರೂ ಫಾರ್ವರ್ಡ್ ಮಾಡಿ!!!,0
ಮುಖ್ಯಮಂತ್ರಿ ಹೇಳಿದರು ರಾಜ್ಯ ಮುನ್ನಡೆಯಲ್ಲಿದೆ.,1
ಈ ವೀಡಿಯೋ ಡಿಲೀಟ್ ಮಾಡುವ ಮೊದಲು ನೋಡಿ!!!,0
ವೈರಲ್ ಸುದ್ದಿ!! ನೀವು ತಿಳಿದುಕೊಳ್ಳಬೇಕಾದ ಸತ್ಯ!!!,0
ನ್ಯಾಯಾಲಯ ತೀರ್ಪು ನೀಡಿತು; ಅಪಿಲ್ ದಾಖಲಾಗಿದೆ.,1
ವೈರಲ್!! ಎಲ್ಲರೂ ಫಾರ್ವರ್ಡ್ ಮಾಡಿ!!!,0
ಪತ್ರಿಕಾ ಸಮ್ಮೇಳನದಲ್ಲಿ ಮಂತ್ರಿ ವಿವರಿಸಿದರು.,1
ತಕ್ಷಣ ಷೇರ್ ಮಾಡಿ!!! ಈ ಸುದ್ದಿ ಮಾಧ್ಯಮಗಳು ಮರೆಮಾಡುತ್ತಿವೆ!!!,0
ಕ್ರಿಕೆಟ್ ಪಂದ್ಯದಲ್ಲಿ ಭಾರತ ಗೆದ್ದಿತು.,1
ಪೋಲೀಸ್ ತಿಳಿಸಿದರು ಇಂದು ಮೂವರು ಸೆರೆಹಿಡಿಯಲಾಗಿದೆ.,1
ಗವರ್ನ್ಮೆಂಟ್ ರಹಸ್ಯ!! ಎಲ್ಲರಿಗೂ ಅನ್ವಯಿಸಿ!!!,0
ವೈರಲ್!! ಎಲ್ಲರೂ ಫಾರ್ವರ್ಡ್ ಮಾಡಿ!!!,0
ಪತ್ರಿಕಾ ಸಮ್ಮೇಳನದಲ್ಲಿ ಮಂತ್ರಿ ವಿವರಿಸಿದರು.,1
ಗವರ್ನ್ಮೆಂಟ್ ರಹಸ್ಯ!! ಎಲ್ಲರಿಗೂ ಅನ್ವಯಿಸಿ!!!,0
ರಿಸರ್ವ್ ಬ್ಯಾಂಕ್ ವಾರ್ಷಿಕ ವರದಿ ಬಿಡುಗಡೆ ಮಾಡಿತು.,1
ಮುಖ್ಯಮಂತ್ರಿ ಹೇಳಿದರು ರಾಜ್ಯ ಮುನ್ನಡೆಯಲ್ಲಿದೆ.,1
ಸರ್ಕಾರ ಘೋಷಣೆ ಪ್ರಕಾರ ಹೊಸ ಯೋಜನೆ ಅನುಮೋದಿಸಲಾಯಿತು.,1
ಅಲರ್ಟ್!! ಸರ್ಕಾರ ಇದನ್ನು ಮರೆಮಾಡುತ್ತಿದೆ!!!,0
ಪೋಲೀಸ್ ತಿಳಿಸಿದರು ಇಂದು ಮೂವರು ಸೆರೆಹಿಡಿಯಲಾಗಿದೆ.,1
ಕ್ರಿಕೆಟ್ ಪಂದ್ಯದಲ್ಲಿ ಭಾರತ ಗೆದ್ದಿತು.,1
ಕ್ರಿಕೆಟ್ ಪಂದ್ಯದಲ್ಲಿ ಭಾರತ ಗೆದ್ದಿತು.,1
ಅಲರ್ಟ್!! ಸರ್ಕಾರ ಇದನ್ನು ಮರೆಮಾಡುತ್ತಿದೆ!!!,0
ವೈರಲ್ ಸುದ್ದಿ!! ನೀವು ತಿಳಿದುಕೊಳ್ಳಬೇಕಾದ ಸತ್ಯ!!!,0
ವಿಧಾನಸಭಾ ಚುನಾವಣೆಯಲ್ಲಿ ಮತದಾನ ನಡೆಯಿತು.,1
ವೈರಲ್!! ಎಲ್ಲರೂ ಫಾರ್ವರ್ಡ್ ಮಾಡಿ!!!,0
ಮುಖ್ಯಮಂತ್ರಿ ಹೇಳಿದರು ರಾಜ್ಯ ಮುನ್ನಡೆಯಲ್ಲಿದೆ.,1
ಮುಖ್ಯಮಂತ್ರಿ ಹೇಳಿದರು ರಾಜ್ಯ ಮುನ್ನಡೆಯಲ್ಲಿದೆ.,1
ಪತ್ರಿಕಾ ಸಮ್ಮೇಳನದಲ್ಲಿ ಮಂತ್ರಿ ವಿವರಿಸಿದರು.,1
ಮುಖ್ಯಮಂತ್ರಿ ಹೇಳಿದರು ರಾಜ್ಯ ಮುನ್ನಡೆಯಲ್ಲಿದೆ.,1
ಅಧಿಕಾರಿಗಳು ಪುರಾವೆಗಳನ್ನು ಸಲ್ಲಿಸಿದರು.,1
ವೈರಲ್!! ಎಲ್ಲರೂ ಫಾರ್ವರ್ಡ್ ಮಾಡಿ!!!,0
