text,label
അലർട്ട്!! സർക്കാർ ഇത് മറയ്ക്കുന്നു!!!,0
നിയമസഭാ തിരഞ്ഞെടുപ്പിൽ വോട്ടിംഗ് നടന്നു.,1
പത്ര സമ്മേളനത്തിൽ മന്ത്രി വിശദീകരിച്ചു.,1
റിസർവ് ബാങ്ക് വാർഷിക റിപ്പോർട്ട് പുറത്തിറക്കി.,1
വൈറല് വാർത്ത!! നിങ്ങൾ അറിയേണ്ട സത്യം!!!,0
വൈറല്!! എല്ലാവരും ഫോർവേഡ് ചെയ്യുക!!!,0
ക്രിക്കറ്റ് മത്സരത്തിൽ ഇന്ത്യ വിജയിച്ചു.,1
അവിശ്വസനീയം!! ഇത് ഷെയർ ചെയ്യാതെ വിടരുത്!!!,0
ഉടൻ ഷെയർ ചെയ്യുക!!! ഈ വാർത്ത മാധ്യമങ്ങൾ മറയ്ക്കുന്നു!!!,0
റിസർവ് ബാങ്ക് വാർഷിക റിപ്പോർട്ട് പുറത്തിറക്കി.,1
ഉടൻ ഷെയർ ചെയ്യുക!!! ഈ വാർത്ത മാധ്യമങ്ങൾ മറയ്ക്കുന്നു!!!,0
ഉടൻ ഷെയർ ചെയ്യുക!!! ഈ വാർത്ത മാധ്യമങ്ങൾ മറയ്ക്കുന്നു!!!,0
നിയമസഭാ തിരഞ്ഞെടുപ്പിൽ വോട്ടിംഗ് നടന്നു.,1
വൈറല് വാർത്ത!! നിങ്ങൾ അറിയേണ്ട സത്യം!!!,0
നിയമസഭാ തിരഞ്ഞെടുപ്പിൽ വോട്ടിംഗ് നടന്നു.,1
കോടതി വിധി പുറപ്പെടുവിച്ചു; അപ്പീൽ ഫയൽ ചെയ്തു.,1
റിസർവ് ബാങ്ക് വാർഷിക റിപ്പോർട്ട് പുറത്തിറക്കി.,1
കോടതി വിധി പുറപ്പെടുവിച്ചു; അപ്പീൽ ഫയൽ ചെയ്തു.,1
റിസർവ് ബാങ്ക് വാർഷിക റിപ്പോർട്ട് പുറത്തിറക്കി.,1
ഉടൻ ഷെയർ ചെയ്യുക!!! ഈ വാർത്ത മാധ്യമങ്ങൾ മറയ്ക്കുന്നു!!!,0
സർക്കാർ പ്രഖ്യാപനം പ്രകാരം പുതിയ പദ്ധതി അനുമോദിച്ചു.,1
സർക്കാർ പ്രഖ്യാപനം പ്രകാരം പുതിയ പദ്ധതി അനുമോദിച്ചു.,1
മുഖ്യമന്ത്രി പറഞ്ഞു രാജ്യം മുന്നോട്ട് പോകുന്നു.,1
മുഖ്യമന്ത്രി പറഞ്ഞു രാജ്യം മുന്നോട്ട് പോകുന്നു.,1
ക്രിക്കറ്റ് മത്സരത്തിൽ ഇന്ത്യ വിജയിച്ചു.,1
നിയമസഭാ തിരഞ്ഞെടുപ്പിൽ വോട്ടിംഗ് നടന്നു.,1
നിയമസഭാ തിരഞ്ഞെടുപ്പിൽ വോട്ടിംഗ് നടന്നു.,1
വൈറല് വാർത്ത!! നിങ്ങൾ അറിയേണ്ട സത്യം!!!,0
പത്ര സമ്മേളനത്തിൽ മന്ത്രി വിശദീകരിച്ചു.,1
അധികൃതർ തെളിവുകൾ സമർപ്പിച്ചു.,1
പത്ര സമ്മേളനത്തിൽ മന്ത്രി വിശദീകരിച്ചു.,1
റിസർവ് ബാങ്ക് വാർഷിക റിപ്പോർട്ട് പുറത്തിറക്കി.,1
കോടതി വിധി പുറപ്പെടുവിച്ചു; അപ്പീൽ ഫയൽ ചെയ്തു.,1
ക്രിക്കറ്റ് മത്സരത്തിൽ ഇന്ത്യ വിജയിച്ചു.,1
ഉടൻ ഷെയർ ചെയ്യുക!!! ഈ വാർത്ത മാധ്യമങ്ങൾ മറയ്ക്കുന്നു!!!,0
ഗോവർണ്മെന്റ് രഹസ്യം!! എല്ലാവർക്കും അയക്കുക!!!,0
ഐഎസ്ആർഓ ഉപഗ്രഹം വിജയകരമായി വിക്ഷേപിച്ചു.,1
അധികൃതർ തെളിവുകൾ സമർപ്പിച്ചു.,1
ഈ വീഡിയോ ഡിലീറ്റ് ചെയ്യും മുമ്പ് കാണുക!!!,0
റിസർവ് ബാങ്ക് വാർഷിക റിപ്പോർട്ട് പുറത്തിറക്കി.,1
ഐഎസ്ആർഓ ഉപഗ്രഹം വിജയകരമായി വിക്ഷേപിച്ചു.,1
അധികൃതർ തെളിവുകൾ സമർപ്പിച്ചു.,1
ക്രിക്കറ്റ് മത്സരത്തിൽ ഇന്ത്യ വിജയിച്ചു.,1
മുഖ്യമന്ത്രി പറഞ്ഞു രാജ്യം മുന്നോട്ട് പോകുന്നു.,1
വൈറല് വാർത്ത!! നിങ്ങൾ അറിയേണ്ട സത്യം!!!,0
ഉടൻ ഷെയർ ചെയ്യുക!!! ഈ വാർത്ത മാധ്യമങ്ങൾ മറയ്ക്കുന്നു!!!,0
അലർട്ട്!! സർക്കാർ ഇത് മറയ്ക്കുന്നു!!!,0
ക്രിക്കറ്റ് മത്സരത്തിൽ ഇന്ത്യ വിജയിച്ചു.,1
മുഖ്യമന്ത്രി പറഞ്ഞു രാജ്യം മുന്നോട്ട് പോകുന്നു.,1
ഈ വീഡിയോ ഡിലീറ്റ് ചെയ്യും മുമ്പ് കാണുക!!!,0
ഗോവർണ്മെന്റ് രഹസ്യം!! എല്ലാവർക്കും അയക്കുക!!!,0
പോലീസ് പറഞ്ഞു ഇന്ന് മൂന്ന് പേരെ അറസ്റ്റ് ചെയ്തു.,1
ഐഎസ്ആർഓ ഉപഗ്രഹം വിജയകരമായി വിക്ഷേപിച്ചു.,1
മുഖ്യമന്ത്രി പറഞ്ഞു രാജ്യം മുന്നോട്ട് പോകുന്നു.,1
വൈറല് വാർത്ത!! നിങ്ങൾ അറിയേണ്ട സത്യം!!!,0
വൈറല്!! എല്ലാവരും ഫോർവേഡ് ചെയ്യുക!!!,0
സർക്കാർ പ്രഖ്യാപനം പ്രകാരം പുതിയ പദ്ധതി അനുമോദിച്ചു.,1
ഐഎസ്ആർഓ ഉപഗ്രഹം വിജയകരമായി വിക്ഷേപിച്ചു.,1
ഗോവർണ്മെന്റ് രഹസ്യം!! എല്ലാവർക്കും അയക്കുക!!!,0
ഉടൻ ഷെയർ ചെയ്യുക!!! ഈ വാർത്ത മാധ്യമങ്ങൾ മറയ്ക്കുന്നു!!!,0
വൈറല്!! എല്ലാവരും ഫോർവേഡ് ചെയ്യുക!!!,0
ഉടൻ ഷെയർ ചെയ്യുക!!! ഈ വാർത്ത മാധ്യമങ്ങൾ മറയ്ക്കുന്നു!!!,0
ഗോവർണ്മെന്റ് രഹസ്യം!! എല്ലാവർക്കും അയക്കുക!!!,0
ഐഎസ്ആർഓ ഉപഗ്രഹം വിജയകരമായി വിക്ഷേപിച്ചു.,1
അധികൃതർ തെളിവുകൾ സമർപ്പിച്ചു.,1
വൈറല് വാർത്ത!! നിങ്ങൾ അറിയേണ്ട സത്യം!!!,0
മുഖ്യമന്ത്രി പറഞ്ഞു രാജ്യം മുന്നോട്ട് പോകുന്നു.,1
സർക്കാർ പ്രഖ്യാപനം പ്രകാരം പുതിയ പദ്ധതി അനുമോദിച്ചു.,1
ഉടൻ ഷെയർ ചെയ്യുക!!! ഈ വാർത്ത മാധ്യമങ്ങൾ മറയ്ക്കുന്നു!!!,0
അധികൃതർ തെളിവുകൾ സമർപ്പിച്ചു.,1
അലർട്ട്!! സർക്കാർ ഇത് മറയ്ക്കുന്നു!!!,0
വൈറല്!! എല്ലാവരും ഫോർവേഡ് ചെയ്യുക!!!,0
ഗോവർണ്മെന്റ് രഹസ്യം!! എല്ലാവർക്കും അയക്കുക!!!,0
ഈ വീഡിയോ ഡിലീറ്റ് ചെയ്യും മുമ്പ് കാണുക!!!,0
നിയമസഭാ തിരഞ്ഞെടുപ്പിൽ വോട്ടിംഗ് നടന്നു.,1
പോലീസ് പറഞ്ഞു ഇന്ന് മൂന്ന് പേരെ അറസ്റ്റ് ചെയ്തു.,1
റിസർവ് ബാങ്ക് വാർഷിക റിപ്പോർട്ട് പുറത്തിറക്കി.,1
അവിശ്വസനീയം!! ഇത് ഷെയർ ചെയ്യാതെ വിടരുത്!!!,0
വൈറല്!! എല്ലാവരും ഫോർവേഡ് ചെയ്യുക!!!,0
ഐഎസ്ആർഓ ഉപഗ്രഹം വിജയകരമായി വിക്ഷേപിച്ചു.,1
ഉടൻ ഷെയർ ചെയ്യുക!!! ഈ വാർത്ത മാധ്യമങ്ങൾ മറയ്ക്കുന്നു!!!,0
സർക്കാർ പ്രഖ്യാപനം പ്രകാരം പുതിയ പദ്ധതി അനുമോദിച്ചു.,1
അവിശ്വസനീയം!! ഇത് ഷെയർ ചെയ്യാതെ വിടരുത്!!!,0
കോടതി വിധി പുറപ്പെടുവിച്ചു; അപ്പീൽ ഫയൽ ചെയ്തു.,1
അലർട്ട്!! സർക്കാർ ഇത് മറയ്ക്കുന്നു!!!,0
അലർട്ട്!! സർക്കാർ ഇത് മറയ്ക്കുന്നു!!!,0
ഐഎസ്ആർഓ ഉപഗ്രഹം വിജയകരമായി വിക്ഷേപിച്ചു.,1
പോലീസ് പറഞ്ഞു ഇന്ന് മൂന്ന് പേരെ അറസ്റ്റ് ചെയ്തു.,1
ക്രിക്കറ്റ് മത്സരത്തിൽ ഇന്ത്യ വിജയിച്ചു.,1
മുഖ്യമന്ത്രി പറഞ്ഞു രാജ്യം മുന്നോട്ട് പോകുന്നു.,1
പത്ര സമ്മേളനത്തിൽ മന്ത്രി വിശദീകരിച്ചു.,1
വൈറല്!! എല്ലാവരും ഫോർവേഡ് ചെയ്യുക!!!,0
ഫേക്ക് അല്ല സത്യം!! ഷെയർ ചെയ്യുക!!!,0
ഗോവർണ്മെന്റ് രഹസ്യം!! എല്ലാവർക്കും അയക്കുക!!!,0
പോലീസ് പറഞ്ഞു ഇന്ന് മൂന്ന് പേരെ അറസ്റ്റ് ചെയ്തു.,1
അധികൃതർ തെളിവുകൾ സമർപ്പിച്ചു.,1
വൈറല്!! എല്ലാവരും ഫോർവേഡ് ചെയ്യുക!!!,0
മുഖ്യമന്ത്രി പറഞ്ഞു രാജ്യം മുന്നോട്ട് പോകുന്നു.,1
ഈ വീഡിയോ ഡിലീറ്റ് ചെയ്യും മുമ്പ് കാണുക!!!,0
വൈറല് വാർത്ത!! നിങ്ങൾ അറിയേണ്ട സത്യം!!!,0
കോടതി വിധി പുറപ്പെടുവിച്ചു; അപ്പീൽ ഫയൽ ചെയ്തു.,1
വൈറല്!! എല്ലാവരും ഫോർവേഡ് ചെയ്യുക!!!,0
പത്ര സമ്മേളനത്തിൽ മന്ത്രി വിശദീകരിച്ചു.,1
ഉടൻ ഷെയർ ചെയ്യുക!!! ഈ വാർത്ത മാധ്യമങ്ങൾ മറയ്ക്കുന്നു!!!,0
ക്രിക്കറ്റ് മത്സരത്തിൽ ഇന്ത്യ വിജയിച്ചു.,1
പോലീസ് പറഞ്ഞു ഇന്ന് മൂന്ന് പേരെ അറസ്റ്റ് ചെയ്തു.,1
ഗോവർണ്മെന്റ് രഹസ്യം!! എല്ലാവർക്കും അയക്കുക!!!,0
വൈറല്!! എല്ലാവരും ഫോർവേഡ് ചെയ്യുക!!!,0
പത്ര സമ്മേളനത്തിൽ മന്ത്രി വിശദീകരിച്ചു.,1
ഗോവർണ്മെന്റ് രഹസ്യം!! എല്ലാവർക്കും അയക്കുക!!!,0
റിസർവ് ബാങ്ക് വാർഷിക റിപ്പോർട്ട് പുറത്തിറക്കി.,1
മുഖ്യമന്ത്രി പറഞ്ഞു രാജ്യം മുന്നോട്ട് പോകുന്നു.,1
സർക്കാർ പ്രഖ്യാപനം പ്രകാരം പുതിയ പദ്ധതി അനുമോദിച്ചു.,1
അലർട്ട്!! സർക്കാർ ഇത് മറയ്ക്കുന്നു!!!,0
പോലീസ് പറഞ്ഞു ഇന്ന് മൂന്ന് പേരെ അറസ്റ്റ് ചെയ്തു.,1
ക്രിക്കറ്റ് മത്സരത്തിൽ ഇന്ത്യ വിജയിച്ചു.,1
ക്രിക്കറ്റ് മത്സരത്തിൽ ഇന്ത്യ വിജയിച്ചു.,1
അലർട്ട്!! സർക്കാർ ഇത് മറയ്ക്കുന്നു!!!,0
വൈറല് വാർത്ത!! നിങ്ങൾ അറിയേണ്ട സത്യം!!!,0
നിയമസഭാ തിരഞ്ഞെടുപ്പിൽ വോട്ടിംഗ് നടന്നു.,1
വൈറല്!! എല്ലാവരും ഫോർവേഡ് ചെയ്യുക!!!,0
മുഖ്യമന്ത്രി പറഞ്ഞു രാജ്യം മുന്നോട്ട് പോകുന്നു.,1
മുഖ്യമന്ത്രി പറഞ്ഞു രാജ്യം മുന്നോട്ട് പോകുന്നു.,1
പത്ര സമ്മേളനത്തിൽ മന്ത്രി വിശദീകരിച്ചു.,1
മുഖ്യമന്ത്രി പറഞ്ഞു രാജ്യം മുന്നോട്ട് പോകുന്നു.,1
അധികൃതർ തെളിവുകൾ സമർപ്പിച്ചു.,1
വൈറല്!! എല്ലാവരും ഫോർവേഡ് ചെയ്യുക!!!,0
അലർട്ട്!! സർക്കാർ ഇത് മറയ്ക്കുന്നു!!!,0
അവിശ്വസനീയം!! ഇത് ഷെയർ ചെയ്യാതെ വിടരുത്!!!,0
ഈ വീഡിയോ ഡിലീറ്റ് ചെയ്യും മുമ്പ് കാണുക!!!,0
അധികൃതർ തെളിവുകൾ സമർപ്പിച്ചു.,1
നിയമസഭാ തിരഞ്ഞെടുപ്പിൽ വോട്ടിംഗ് നടന്നു.,1
പോലീസ് പറഞ്ഞു ഇന്ന് മൂന്ന് പേരെ അറസ്റ്റ് ചെയ്തു.,1
റിസർവ് ബാങ്ക് വാർഷിക റിപ്പോർട്ട് പുറത്തിറക്കി.,1
ക്രിക്കറ്റ് മത്സരത്തിൽ ഇന്ത്യ വിജയിച്ചു.,1
മുഖ്യമന്ത്രി പറഞ്ഞു രാജ്യം മുന്നോട്ട് പോകുന്നു.,1
വൈറല്!! എല്ലാവരും ഫോർവേഡ് ചെയ്യുക!!!,0
അധികൃതർ തെളിവുകൾ സമർപ്പിച്ചു.,1
ഗോവർണ്മെന്റ് രഹസ്യം!! എല്ലാവർക്കും അയക്കുക!!!,0
വൈറല് വാർത്ത!! നിങ്ങൾ അറിയേണ്ട സത്യം!!!,0
മുഖ്യമന്ത്രി പറഞ്ഞു രാജ്യം മുന്നോട്ട് പോകുന്നു.,1
