text,label
కొరోనావైరస్ వ్యాప్తి చేయడానికి ముస్లిం పండ్ల వ్యాపారి తన తోపుడు బండి మీద ఉన్న పండ్లకు ఉమ్ము రాస్తున్న వీడియో.,0
2021 వెస్ట్ బెంగాల్ అసెంబ్లీ ఎన్నికలలో జరిగిన రిగ్గింగ్ ఘటన వీడియో.,0
వీడియోలో కంచి ఆలయ ఏనుగుని తరలించిడానికి ప్రయత్నిస్తున్న PETA సంస్థ.,0
అప్పటి ఇండియా కాదు!,1
‘‘దేశంలో నెలకొన్న మతోన్మాద వాతావరణం ఆందోళన కలిగిస్తోంది. పగ-ద్వేషం పెంచుకోమని ఏ మతమూ చెప్పలేదు. మనమంతా హిందుస్థానీలం. మనది హిందుస్థాన్‌ అని ఇక్బాల్‌ కవిత రూపంలో ఏనాడో చెప్పారు. రాజధానిలో ఆర్టీసీ నష్టాల బాటలో నడుస్తోంది. విభజన తర్వాత కోలుకోలేకపోతున్నా మన్న ఆర్టీసీ ఉన్నతాధికారుల అంతర్మథనం తాజా ఫలితాలతో తేటతెల్లం అయింది. ఆర్థిక సంవత్సరాంతాన,1
విధిస్తూ ప్రత్యేక కోర్టు న్యాయమూర్తి బీ కే తివారీ తీర్పునిచ్చారు. దీనితోపాటు రూ.5 లక్షల జరిమానా విధించారు. ఒకవేళ జరిమానా చెల్లించకపోతే మరో 18 నెలలపాటు జైలుశిక్షను,1
వైద్య విధాన పరిషత్‌ ఆధ్వర్యంలో 8 వేల పోస్టులకు త్వరలోనే నోటిఫికేషన్‌ విడుదల చేసేందుకు చర్యలు తీసుకుంటున్నట్లు మంత్రి డాక్టర్‌ సి.లక్ష్మారెడ్డి వెల్లడించారు. ఒకటి రెండు నెలల్లో,1
క్రైస్తవ ప్రవక్త డీఎల్‌ మూడి. మరికొంత ముందుకు వెళ్లి ‘‘నా కళ్లకు కనిపించని దేన్నీ నేను నమ్మను’’ అన్న వ్యక్తితో.. ‘‘మరి మీ మెదడు మీకు కనిపించదు కదా! దాన్ని నమ్మరా?’’ అని,1
నేతాజీ దొరికితే యుద్ధ ఖైదీగా బ్రిటిష్ వారికి అప్పగించటానికి గాంధీ మరియు నెహ్రూ ఒప్పుకున్నారని చెప్తూ ఖోస్లా కమిషన్ ముందు ఉస్మాన్ పటేల్ చేసిన వ్యాఖ్యలు.,0
ఫ్రెండ్ అంటూనే..సునీల్ మిట్టల్‌కు చురకలంటించిన ముకేశ్ అంబానీ,1
క్లెయిమ్: రవీంద్రనాథ్ ఠాగూర్ రాసిన అద్బుతమైన కవిత.,0
టర్కీలో జరిగిన న్యూ ఇయర్ వేడుకల్లో పెను విషాదం జరిగింది. ఇస్తాంబుల్ లోని నైట్ క్లబ్‌లో ఓ గుర్తుతెలియని దుండగుడు విచక్షణా రహితంగా కాల్పులు జరపడంతో 35మంది మృతిచెందగా,1
అవకాశం ఉందన్నారు. ఈ నీటితో సాగునీటి అవసరాలు ఎలా తీరుతాయో చంద్రబాబు సమాధానం చెప్పాలని డిమాండ్‌ చేశారు.,1
మారారు. దీంతో ఆయనకు అవకాశాలు వెల్లువెత్తుతున్నాయి.,1
ఇదీ... భారత సంతతికి చెందిన ఓ సింగపూర్‌ మహిళ పట్ల జర్మనీ విమానాశ్రయంలో ఓ పోలీసు ప్రవర్తించిన అమానవీయమైన తీరు! హతాశురాలైన ఆ మహిళ సదరు పోలీసుపై చట్టపరమైన,1
ఐటీ కారిడార్‌కు సెంటర్ పాయింట్ అయిన ఈ ప్రాంతాల్లో..,1
మిషన్‌ కాకతీయ లాంటి పథకాల అమలులో రాష్ట్రంలో ఖమ్మం జిల్లా అగ్రస్ధానంలో ఉందన్నారు. యూట్యూబ్‌లో ఎడాపెడా వైరల్ సాంగ్స్ పోస్టు చేసి స్టార్ అయిపోయిన దించక్ పూజ... తాజాగా మరో అవతారమొత్తింది. ఈ సారి ఏకంగా లైవ్‌లో ప్రదర్శన ఇస్తూ ప్రేక్షకులను బెంబేలెత్తించింది.,1
ఆంధ్రప్రదేశ్ రాష్ట్రంలో కలెక్టర్ కార్యాలయంలో చలానా కట్టి రెమెడెసివిర్ పొందొచ్చు,0
నిరాశపరిచిన ప్రీమాన్‌సూన్‌,1
లఖ్‌నవ్‌లోని ఆషియానా ప్రాంతంలో బుధవారం ఉదయం అదుపులోకి తీసుకున్నారు. ఆయనను వెంటనే ‘బాలలపై లైంగిక నేరాలను విచారించే న్యాయస్థానం’ (పొక్సో కోర్టు)లో హాజరుపర్చగా,1
కొరోనా వైరస్ ని వ్యాప్తి చేయడానికి ముస్లిం హోటళ్లలో ఆహరంలో ఉమ్మేసి ప్యాకింగ్ చేస్తున్న వీడియో.,0
ఐసీసీ ర్యాంకింగ్స్‌దుబాయ్‌: ఐసీసీ వన్డే ర్యాంకింగ్స్‌లో భారత మూ డో స్థానానికి ఎగబాకింది. సోమవారం విడుదల చేసిన తాజా ర్యాంకింగ్స్‌లో 117 పాయింట్లతో భారత మూడో ర్యాంకును కైవసం చేసుకుంది.కేంద్ర సర్కారులోకి ‘అన్నాడీఎంకే’?,1
భారతదేశంలోకి అక్రమంగా చొరబడ్డ బంగ్లాదేశీ ముస్లింల జనాభా సంఖ్య 8 కోట్లు. అందుకే వీడియోలో CAA చట్టానికి విరుద్ధంగా బంగ్లాదేశ్ లో నిరసన తెలుపుతున్నారు.,0
క్లెయిమ్: చిత్తూరు జిల్లా పుంగనూరు సదం ప్రాజెక్టు నీటిలో 200 కేజీల భారీ చేప సంచరిస్తున్న దృశ్యాలు.,0
వై.యెస్.జగన్ ఫోటో తగిలించిన బైక్‌ని నారా లోకేష్ నడుపుతున్న దృశ్యం.,0
నిరంతరం మిర్చి కొనుగోళ్లు,1
హోమ్‌సిక్‌నెస్తో వచ్చే చిక్కే ఇది,1
వేతన సంఘం సిఫారసు చేసింది. ఉద్యోగ సంఘాలు ఇందుకు అంగీకరించలేదు.,1
